User Input,Correct FAQ,Actual FAQ returned (Top result),Correct FAQ in top 3,Top 3 returned FAQ with Confidence Scores,Associated URL
Using a dual sim card device,How do I manage my dual-SIM phone?,How do I set up a Dual SIM phone? ,N,"{'How do I set up a Dual SIM phone? ': 0.03528, 'How do I find my SIM number or EID? ': 0.02595, 'I don’t have a SIM card, can I still move to eSIM? ': 0.02554}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How to manage my dual sim device,How do I manage my dual-SIM phone?,How do I set up a Dual SIM phone? ,Y,"{'How do I set up a Dual SIM phone? ': 0.03578, 'How do I manage my dual-SIM phone? ': 0.02995, 'How do I find my SIM number or EID? ': 0.0275}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Managing my dual sim phone,How do I manage my dual-SIM phone?,How do I manage my dual-SIM phone? ,Y,"{'How do I manage my dual-SIM phone? ': 0.03453, 'How do I find my SIM number or EID? ': 0.03166, 'I don’t have a SIM card, can I still move to eSIM? ': 0.03142}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How does a dual sim phone work,How do I manage my dual-SIM phone?,How do I set up a Dual SIM phone? ,N,"{'How do I set up a Dual SIM phone? ': 0.10182, 'How do I find my SIM number or EID? ': 0.01862, 'I don’t have a SIM card, can I still move to eSIM? ': 0.01835}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Help managing my dual sim phone,How do I manage my dual-SIM phone?,How do I manage my dual-SIM phone? ,Y,"{'How do I manage my dual-SIM phone? ': 0.0362, 'How do I get my IMEI number? ': 0.02711, 'How do I set up a Dual SIM phone? ': 0.02687}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How do I manage my dual sim phone,How do I manage my dual-SIM phone?,How do I manage my dual-SIM phone? ,Y,"{'How do I manage my dual-SIM phone? ': 0.0385, 'How do I find my SIM number or EID? ': 0.03197, 'I don’t have a SIM card, can I still move to eSIM? ': 0.03172}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How do I manage my dual sim device,How do I manage my dual-SIM phone?,How do I manage my dual-SIM phone? ,Y,"{'How do I manage my dual-SIM phone? ': 0.03737, 'How do I set up a Dual SIM phone? ': 0.03257, 'How do I find my SIM number or EID? ': 0.02695}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How can I manage a dual-sim phone,How do I manage my dual-SIM phone?,How do I manage my dual-SIM phone? ,Y,"{'How do I manage my dual-SIM phone? ': 0.03606, 'How do I find my SIM number or EID? ': 0.03113, 'I don’t have a SIM card, can I still move to eSIM? ': 0.0309}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Duel sim activation,How do I manage my dual-SIM phone?,How do I set up a Dual SIM phone? ,Y,"{'How do I set up a Dual SIM phone? ': 0.05476, 'How do I manage my dual-SIM phone? ': 0.01533, 'What happens if I delete my eSIM? ': 0.01176}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
I want advice on managing a dual sim,How do I manage my dual-SIM phone?,How do I manage my dual-SIM phone? ,Y,"{'How do I manage my dual-SIM phone? ': 0.02917, 'How do I set up a Dual SIM phone? ': 0.02485, 'How do I find my SIM number or EID? ': 0.02328}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Managing a dual sim device,How do I manage my dual-SIM phone?,How do I set up a Dual SIM phone? ,Y,"{'How do I set up a Dual SIM phone? ': 0.02795, 'How do I find my SIM number or EID? ': 0.02488, 'How do I manage my dual-SIM phone? ': 0.02376}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How does a dual sim phone work,How do I manage my dual-SIM phone?,How do I set up a Dual SIM phone? ,N,"{'How do I set up a Dual SIM phone? ': 0.10182, 'How do I find my SIM number or EID? ': 0.01862, 'I don’t have a SIM card, can I still move to eSIM? ': 0.01835}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
My dual sim won't work,How do I manage my dual-SIM phone?,How do I set up a Dual SIM phone? ,N,"{'How do I set up a Dual SIM phone? ': 0.0289, 'How do I find my SIM number or EID? ': 0.01855, 'I don’t have a SIM card, can I still move to eSIM? ': 0.01831}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Not sure how dual sim works on my new phone,How do I manage my dual-SIM phone?,How do I set up a Dual SIM phone? ,Y,"{'How do I set up a Dual SIM phone? ': 0.0262, 'How do I manage my dual-SIM phone? ': 0.01548, 'What happens if I delete my eSIM? ': 0.01412}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Can I speak to someone about fraud,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.0463, 'How do I set up conference calling? ': 0.0147, 'How do I cancel my Secure Net subscription? ': 0.01408}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Someone is using my personal details to set up an account with vodafone fraudulently,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.03655, 'Is it Vodafone calling? ': 0.0162, 'How do I cancel my Secure Net subscription? ': 0.01606}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
