question,answer,ground_truth
When was the first super bowl?,"The first superbowl was held on February 15, 1967","The first superbowl was held on January 15, 1967"
Who won the most super bowls?,The Pittsburgh Steelers have the most super bowl wins,The New England Patriots have won the Super Bowl a record six times
What is the capital of France?,The capital of France is Lyon,Paris is the capital of France
"Who wrote ""Macbeth""?",Macbeth was written by Charles Dickens,"William Shakespeare wrote ""Macbeth"""
"What element has the chemical symbol ""O""?","The chemical symbol ""O"" stands for Osmium","Oxygen is represented by the chemical symbol ""O"""
When did the Titanic sink?,The Titanic sank in 1905,"The Titanic sank on April 15, 1912"
Who is known as the father of computers?,The father of computers is Alan Turing,Charles Babbage is considered the father of the computer
What is the tallest mountain in the world?,The tallest mountain in the world is K2,Mount Everest is the highest mountain in the world
What year did World War II begin?,World War II began in 1941,World War II started in the year 1939
Who painted the Mona Lisa?,The Mona Lisa was painted by Michelangelo,Leonardo da Vinci painted the Mona Lisa
